label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
;Lorentzian;342.9457211120893;378.09030982705525;2.6380066104951028;;;
Peak IV;Lorentzian;685.6432846204348;97.73632718975749;6.2568349604141265;;;
Peak II;Lorentzian;508.4454077975975;55.23851816171475;90.41267158261687;;;
;Lorentzian;302.5168256603407;113.80661056209692;26.431067348530433;;;
;Lorentzian;250.31545391495308;21.72966799425428;12.99581592592649;;;
Peak I;Lorentzian;384.5317138729977;21.4721103689542;16.89805925452732;;;
Peak III;Lorentzian;618.499879323443;37.72032347717474;11.759948216185446;;;
;Lorentzian;651.0812200305229;33.66548986305684;6.42835746098328;;;
;Lorentzian;423.02822299932313;13.430750672695993;63.028366463927284;;;
